"","location","environ_var_code","week_epidemiar","ref_value","ref_sd","ref_yrcount","ref_max","ref_uq","ref_median","ref_lq","ref_min"
"1","Abargelie","evi",1,0.124396986747602,0.00843589529188959,18,0.14315672115499,0.128508006613289,0.121598551276714,0.119308083194717,0.109188655424216
"2","Abargelie","evi",2,0.122697887881288,0.00836738607774503,17,0.141691824678353,0.127447884081838,0.119004341883288,0.117543577017968,0.108676012342602
"3","Abargelie","evi",3,0.121037386934351,0.00800927089780453,17,0.138819007397837,0.125826781303008,0.117428226496838,0.11645410125751,0.107239053010128
"4","Abargelie","evi",4,0.119324040539989,0.00787142262909191,17,0.136158366269273,0.124731699743469,0.115873091361657,0.114523439916678,0.105832586508784
"5","Abargelie","evi",5,0.117693072636419,0.00765373051400692,17,0.133890768046895,0.123218108286356,0.114642609967417,0.113725818586807,0.104774390445364
"6","Abargelie","evi",6,0.116745177451444,0.00739098457084027,17,0.132881010329151,0.121400087217582,0.113290100571525,0.113043465134981,0.103749625992293
"7","Abargelie","evi",7,0.115818715737154,0.00723363310339838,17,0.132085997062433,0.120105396506446,0.112995202386577,0.111582988595514,0.103235726896688
"8","Abargelie","evi",8,0.114831633842194,0.00706005888773104,17,0.130784331378527,0.119266805317286,0.112955304398509,0.111026542127369,0.102228133779647
"9","Abargelie","evi",9,0.114471336838331,0.00691367954319798,17,0.130589191719805,0.118511662267135,0.111762451034703,0.110816150396221,0.101250055748254
"10","Abargelie","evi",10,0.114402637911622,0.00656437794476341,17,0.129570105289421,0.118396254116054,0.111973874868178,0.110634409749683,0.100887295509055
"11","Abargelie","evi",11,0.114229458055492,0.00608859296882325,17,0.128637458079894,0.117516728440912,0.113677929270856,0.111311682672964,0.100502992174741
"12","Abargelie","evi",12,0.114425330507554,0.00696334460673146,17,0.131811634163249,0.117968064825412,0.11369883192363,0.111102636920176,0.0996261900087343
"13","Abargelie","evi",13,0.11473921643624,0.00663195264586143,17,0.130490154415843,0.119495082787571,0.112310741807387,0.111366207324332,0.0999296804331627
"14","Abargelie","evi",14,0.11575278541733,0.00674745854357207,17,0.134510656824567,0.118733176416017,0.113229300445429,0.11201044279017,0.104477082999274
"15","Abargelie","evi",15,0.116143764926043,0.00806017073269239,17,0.138402203482934,0.120709965089752,0.114053219901543,0.111406593677159,0.103047762504529
"16","Abargelie","evi",16,0.116484725563753,0.0085846678663823,17,0.138552053752075,0.120661106660984,0.114163085610862,0.111310332017265,0.103731282454667
"17","Abargelie","evi",17,0.116615541873411,0.00829639710596221,17,0.136090367416385,0.122448803609114,0.114108835362543,0.110786878373323,0.107050881899933
"18","Abargelie","evi",18,0.117590523060658,0.00834573215509205,17,0.132731129777548,0.12160935550588,0.115882036119285,0.110766348940866,0.108223628684158
"19","Abargelie","evi",19,0.116561128442426,0.00814404003957832,17,0.130361974179362,0.12339572631204,0.114412384415579,0.109865464549619,0.107234057413731
"20","Abargelie","evi",20,0.116396170816126,0.0094387912596702,17,0.14142086130748,0.119820909720245,0.114016220812505,0.110833922728632,0.105762146426993
"21","Abargelie","evi",21,0.115438220487689,0.0113715319562326,17,0.15145584247358,0.118729012068353,0.114491196719045,0.109170953375484,0.102761577313866
"22","Abargelie","evi",22,0.11203710940336,0.011533709645705,17,0.144411836418362,0.11726566523789,0.112964703944359,0.10165781158622,0.0973999849436164
"23","Abargelie","evi",23,0.108823859731942,0.010939214775088,17,0.142884459346009,0.112751173000713,0.108599737229846,0.103367004682025,0.0944031570318855
"24","Abargelie","evi",24,0.10460577679771,0.0117404458672222,17,0.139926173660576,0.107533356405737,0.105089585440652,0.0971995180818723,0.0844430159779394
"25","Abargelie","evi",25,0.105681385471651,0.00848747929080666,17,0.125801349504815,0.108463701575439,0.103638925008069,0.0988065261798054,0.0965998949960724
"26","Abargelie","evi",26,0.108152866970913,0.00788537132236975,17,0.122183291028983,0.113414730725189,0.108963894494674,0.104761462013827,0.0914167377146211
"27","Abargelie","evi",27,0.116963924424094,0.0167215274299038,17,0.159269042015389,0.121640816845833,0.116263956686296,0.108968461718664,0.0801863890692283
"28","Abargelie","evi",28,0.131530181489981,0.0264094655142955,17,0.185230067084059,0.142339346872102,0.125173172719934,0.117462832441739,0.0820728669296614
"29","Abargelie","evi",29,0.141490947994397,0.0242035454424085,17,0.188971748783342,0.158345396388737,0.132428249655319,0.128316751266145,0.106219450142038
"30","Abargelie","evi",30,0.16560356684418,0.0352154455020293,17,0.240614837053069,0.176798176699744,0.162545152846118,0.143324136898348,0.10734479301494
"31","Abargelie","evi",31,0.173511493847384,0.0405493590951511,17,0.24952128045287,0.189083553277849,0.176532413063914,0.155043578685435,0.101169082687699
"32","Abargelie","evi",32,0.20043780076432,0.0515554225139293,17,0.283176949782662,0.242758196944789,0.196544570877262,0.174110771013527,0.0933836425084994
"33","Abargelie","evi",33,0.229698387778153,0.0372901245928491,17,0.283430102434674,0.250796809973537,0.235242748670234,0.203774838409289,0.163997992181052
"34","Abargelie","evi",34,0.247973301481803,0.0247972028253527,17,0.29179869860058,0.26690842168697,0.247025867857014,0.235540674411276,0.200063630630116
"35","Abargelie","evi",35,0.262287548417121,0.0235010363711832,17,0.301506721157218,0.281439443708993,0.263472959095929,0.236479458778157,0.228116596952174
"36","Abargelie","evi",36,0.271426215290942,0.0255532924817072,17,0.313558750619284,0.293283093476673,0.27865686084742,0.247593011987807,0.230561908250659
"37","Abargelie","evi",37,0.269999298594378,0.021568747144974,17,0.299260431562846,0.289752804647053,0.27119930597852,0.256313910290166,0.229766022319778
"38","Abargelie","evi",38,0.253369191211763,0.0202870075892829,17,0.280013779519266,0.272117817415611,0.250876870511237,0.239468980291744,0.21590526902019
"39","Abargelie","evi",39,0.225568907305167,0.0208421367147009,17,0.262302171733032,0.241330783893722,0.225426995402843,0.211632071829392,0.194176897599137
"40","Abargelie","evi",40,0.203657642628398,0.016972558534641,17,0.240770392071233,0.21264931034978,0.201550835197752,0.191093492608528,0.176469786337023
"41","Abargelie","evi",41,0.187864903733655,0.0154824543875642,17,0.217751227241238,0.198231803161289,0.185094371073818,0.178921218826992,0.161379162249679
"42","Abargelie","evi",42,0.174209458128351,0.0133705143761224,17,0.198976367291598,0.180161899695691,0.169728432042589,0.167453755803785,0.152879855022595
"43","Abargelie","evi",43,0.163921580769654,0.0127311407817182,17,0.187797771974408,0.170041595343414,0.160497311658087,0.157406940506406,0.139655528668286
"44","Abargelie","evi",44,0.156659628719009,0.0119130108099056,17,0.178186142154315,0.161970436870242,0.153481608411592,0.150457410585852,0.133547064216869
"45","Abargelie","evi",45,0.150659758802667,0.0115577157483217,17,0.171969675570588,0.155767865816079,0.147639936525,0.144427571051891,0.128846574211283
"46","Abargelie","evi",46,0.145471473321694,0.010876378835005,17,0.166084332296972,0.15046768636626,0.143606419802789,0.139117402269049,0.125308657593801
"47","Abargelie","evi",47,0.14112393777079,0.010333609470182,17,0.159934548641644,0.146932349093477,0.139779896020772,0.134542979476711,0.121791966846402
"48","Abargelie","evi",48,0.137093251980331,0.0098526567272056,17,0.155134425645878,0.142604468273179,0.136257282368398,0.130305154409855,0.118501293488921
"49","Abargelie","evi",49,0.13361197051402,0.00925778940652772,17,0.151257258054428,0.137872669682421,0.132538803899059,0.127728938862982,0.115929816933933
"50","Abargelie","evi",50,0.130494131386536,0.00865827532469408,17,0.145849598827925,0.132651656503206,0.128970655384506,0.124879852189049,0.113669843802078
"51","Abargelie","evi",51,0.12796355626305,0.00815102189635966,17,0.143012106821604,0.128216944701559,0.126147455733138,0.12295409468262,0.112245150713273
"52","Abargelie","evi",52,0.125578835242204,0.00761964605384027,17,0.140565273697303,0.125974484996647,0.123726476254816,0.121998959107084,0.110595503624357
"53","Abargelie","evi",53,0.116760398343213,0.00649460982191668,3,0.120978838195626,0.120499851441754,0.120020864687882,0.114651178417007,0.109281492146132
"54","Abargelie","lst_day",1,35.0440441896818,0.970386879528515,18,36.237581622964,35.7981464576189,35.2936262121531,34.5451646438285,33.2727970101195
"55","Abargelie","lst_day",2,34.9470176243234,0.901204709906056,17,36.5051038497351,35.4388220685981,34.7730428319162,34.2830812549985,33.5601127036162
"56","Abargelie","lst_day",3,35.2372116074536,0.962672912110515,17,37.1852036760946,35.7665653631257,35.1532410176838,34.8762756555402,33.1224350474979
"57","Abargelie","lst_day",4,36.333191160467,0.675359399645376,17,37.4321126189136,36.7702323982694,36.5032331243797,36.1178125113167,35.056420791675
"58","Abargelie","lst_day",5,37.2481116957776,1.0204138513115,17,39.4707382264863,37.6272088208595,37.1216933408379,36.8545708859835,35.3368944942669
"59","Abargelie","lst_day",6,37.8075883038578,0.967992333635808,17,39.6795363266919,38.4986705981786,37.6734398786175,37.2431198744929,36.4990098568096
"60","Abargelie","lst_day",7,38.5535447838861,1.36606616803552,17,40.3646747080981,39.5883072177085,38.6699772530442,38.2908114942712,35.9021652634467
"61","Abargelie","lst_day",8,39.5025827897014,1.72158202586759,17,42.8442415154653,40.4249163868309,39.6762663750768,39.1187828230409,35.0548084216522
"62","Abargelie","lst_day",9,40.3939525372034,1.51378558635149,17,43.6337903879688,41.056430286964,40.2596921550009,39.6239112058526,38.0760202586623
"63","Abargelie","lst_day",10,40.6959844719767,1.43115992054795,17,43.577812499041,41.7834912096458,40.3207886982125,39.5811494762247,38.5363861617982
"64","Abargelie","lst_day",11,41.1943857579982,1.60117978377414,17,44.3184562636683,42.0559033506033,41.1200324386565,40.775300095935,37.1851176169833
"65","Abargelie","lst_day",12,41.6599907585303,1.16945642836554,17,43.5469507294555,42.4535838485567,41.5096615945334,40.5829728847204,39.632670453325
"66","Abargelie","lst_day",13,42.3441805180098,1.48536378171167,17,44.9115626102899,43.0534427081767,42.3855074025813,41.5077610943581,39.3489468147203
"67","Abargelie","lst_day",14,42.466309193598,1.43991301650321,17,45.1068188081602,43.3104602852024,42.5762695974599,41.3995454537084,39.9020548247054
"68","Abargelie","lst_day",15,42.4090067802912,1.68493329412278,17,44.8616557893336,44.039818644279,42.1855387241449,40.9370955218696,39.6530497492986
"69","Abargelie","lst_day",16,42.3840879897305,1.65443222288448,17,44.9302211598246,43.5200661662664,42.0710511352303,40.9575411927974,40.1222487507896
"70","Abargelie","lst_day",17,42.2378958673015,1.98085886847862,17,44.9511500102196,43.3990061924996,42.6205996640128,40.649832072893,38.2220894757294
"71","Abargelie","lst_day",18,42.1132300460063,2.99427508154931,17,46.0920194460078,44.0891537592321,43.039514838,41.0142976278965,34.566133222131
"72","Abargelie","lst_day",19,42.2377681788438,2.13091267387151,17,46.0056050254446,43.2976253307546,42.3131362135096,41.3035366237649,38.0985964342643
"73","Abargelie","lst_day",20,41.9019310530607,2.42798028344458,17,45.9490872799342,43.0407601264157,42.0808616652416,40.3278086874221,36.3011522014401
"74","Abargelie","lst_day",21,41.0867445897271,2.50633896229657,17,45.2664534697086,42.8659889064092,41.0851353247457,40.0873075301263,35.5189041810574
"75","Abargelie","lst_day",22,40.4269772782818,2.57376339992166,17,45.6770435340889,41.8874344245039,40.315407993597,38.1165744778666,35.7410342253913
"76","Abargelie","lst_day",23,39.0700655293719,2.93478602004603,17,43.9513669349122,41.3832544350733,39.3567720743984,37.1016122656791,31.801333508058
"77","Abargelie","lst_day",24,36.4207099355213,2.50880950536882,17,42.7057675747239,37.5810459978309,36.1874256596218,35.0519305143722,31.801333508058
"78","Abargelie","lst_day",25,35.1735551827628,2.7034838785833,17,41.8567833005673,35.9725870580502,34.8827906575514,33.9905085350187,30.5917008367057
"79","Abargelie","lst_day",26,33.2192142756898,3.23757273073519,17,38.0663985664385,36.3544463054868,31.5332624143076,30.4715547353994,29.1443658933152
"80","Abargelie","lst_day",27,31.9562910009054,3.12273793720207,17,38.0244832801282,33.8960060372115,31.6240246275999,29.651152974812,27.795922158032
"81","Abargelie","lst_day",28,30.0647297247056,2.63949558650557,17,35.6126198833927,31.5288599704342,29.5311221004581,28.2269471252929,26.5476595219034
"82","Abargelie","lst_day",29,28.8537231172196,2.21429017406918,17,32.8686892634491,30.7130752110811,28.6316602972675,27.5900382235161,24.4032730081517
"83","Abargelie","lst_day",30,28.8921631213883,2.19165458701066,17,34.3074163791586,30.327470447678,28.4691998048727,27.0816833362103,26.1818122723796
"84","Abargelie","lst_day",31,27.9060910355151,2.37874910331115,17,32.5271385053912,29.5432646172611,27.8522487019731,26.7173091018711,23.4012643164977
"85","Abargelie","lst_day",32,27.3375519097642,1.61871373658962,17,30.0431949696707,28.5008846598971,27.4214519758257,26.2322055998458,24.908453070794
"86","Abargelie","lst_day",33,27.2182542681921,1.40777167963714,17,29.5668705883637,28.2309706777729,27.221705204528,26.6221474657573,24.3564809598189
"87","Abargelie","lst_day",34,27.0271129285077,1.609349492265,17,30.0490408138479,27.9776089175232,27.0635501010908,26.0131556506961,23.3489802289443
"88","Abargelie","lst_day",35,27.5546037047244,1.36464394331649,17,29.6437542358993,28.652809801446,27.3091421535005,26.5982418684541,24.772865396917
"89","Abargelie","lst_day",36,29.1680404449663,1.4754263806887,17,31.1792623750253,30.7218626847423,28.9056701973755,28.1508369555902,25.6899232958962
"90","Abargelie","lst_day",37,31.1711859355641,1.74689521207846,17,34.8746814352065,32.0932110832792,31.2942064129721,29.8507227038065,27.6706701022386
"91","Abargelie","lst_day",38,33.7837023340488,1.82860340300273,17,37.0698862713591,34.5792669784297,33.4836310672104,33.0925428224025,30.3198851972313
"92","Abargelie","lst_day",39,35.8174127664789,1.26152303529961,17,38.5798975711824,36.5555037321335,35.5297442594012,35.0767984120097,33.7420640867551
"93","Abargelie","lst_day",40,37.3815048637405,1.23870522842227,17,39.592627144496,38.409574332399,37.535880149445,36.4819512051406,35.3179764293417
"94","Abargelie","lst_day",41,38.0048411686466,1.36673705999495,17,40.8128336593567,38.5374149551721,37.7230247313299,37.4079147744117,34.7337839309269
"95","Abargelie","lst_day",42,38.2600851806735,1.49220510023037,17,41.1383537611963,38.7599361845389,38.395427309482,37.5586025168961,35.3120529158271
"96","Abargelie","lst_day",43,38.3695013899213,1.54155236430383,17,40.875066279817,39.0041604709958,38.5123048632206,37.8034551066793,34.6995560354008
"97","Abargelie","lst_day",44,38.0584288997652,1.65163903797115,17,40.7506544138362,39.0486115579823,37.8016793710399,36.6903855688795,34.7305087712668
"98","Abargelie","lst_day",45,37.7269967521255,1.5264113743694,17,40.5323913212937,38.7348421062969,37.8720737539045,36.8940226205156,34.7734025480764
"99","Abargelie","lst_day",46,37.3822550125027,1.41444781798696,17,39.8126549183694,38.1138043884562,37.3361158253383,36.6770639056879,33.6304675524435
"100","Abargelie","lst_day",47,36.9637986163286,1.23784437529014,17,39.354963433624,37.6809063857812,36.765059006438,36.0358745701188,35.1742964985278
"101","Abargelie","lst_day",48,36.5840254540464,1.00011316545671,17,38.6251159843092,37.1648972059791,36.3525962341697,35.9489887732173,34.7546069705364
"102","Abargelie","lst_day",49,36.0434743207478,0.90541722783638,17,37.8898881434102,36.5697073462356,36.0660195221176,35.5477256051789,33.8827169415718
"103","Abargelie","lst_day",50,35.5353333892,0.872246796987488,17,36.7312271264506,36.1567433737063,35.6577861246026,35.0056420859192,33.0491146609839
"104","Abargelie","lst_day",51,35.2227620119701,0.62264029062123,17,36.4330045070398,35.3221955906751,35.2428622495671,35.076880426263,33.9323845634961
"105","Abargelie","lst_day",52,35.027199032758,0.759393501467764,17,36.6558037145177,35.4892736687108,34.9728034364721,34.7867043798018,33.2038874952508
"106","Abargelie","lst_day",53,34.4818445268693,1.11331395751863,3,35.7672801490767,34.8104390021293,33.8535978551819,33.8391267157656,33.8246555763493
"107","Abargelie","lst_mean",1,27.3936110495619,0.56685709169151,18,28.1054807918347,27.8754753851362,27.5300378215708,26.9769538766496,26.3074472495886
"108","Abargelie","lst_mean",2,27.4659143476852,0.614888771412736,17,28.3191858787194,27.9711205913963,27.3898025753286,27.1999870644336,26.4241329364995
"109","Abargelie","lst_mean",3,27.7979194068808,0.613903345802817,17,29.2057348322428,28.0682259246552,27.8518887308046,27.5280402754923,26.498849286994
